-0.0547234 -1
-0.0404499 -1.17609
-0.0188066 -1.35218
-0.018687 -1.52827
-0.0124283 -1.70437
-0.0121966 -1.88046
-0.00925498 -2.05655
-0.00728558 -2.23264
-0.00466651 -2.40873
-0.00461727 -2.58482
-0.00458366 -2.76091
-0.00456051 -2.937
-0.00403556 -3.1131
-0.00385488 -3.28919
-0.00384797 -3.46528
-0.00391905 -3.64137
-0.00381495 -3.81746
-0.00381288 -3.99355
-0.0038115 -4.16964
-0.00378064 -4.34573
-0.00378002 -4.52183
-0.0037796 -4.69792
-0.00377048 -4.87401
-0.00377034 -5.0501
-0.00376838 -5.22619
-0.00376981 -5.40228
-0.0037677 -5.57837
-0.00376691 -5.75446
-0.00376597 -5.93056
-0.00378419 -6.10665
-0.00376772 -6.28274
-0.00376912 -6.45883
-0.00391227 -6.63492
-0.00360288 -6.81101
-0.00325322 -6.9871
-0.00616989 -7.16319
-0.00687323 -7.33929
-0.00241589 -7.51538
0.0202209 -7.69147
-0.0380022 -7.86756
0.0436556 -8.04365
